X,Y,Z,Name,HCI_CODE,HCI_NAME,LICENCE_TYPE,HCI_TEL,POSTAL_CD,ADDR_TYPE,BLK_HSE_NO,FLOOR_NO,UNIT_NO,STREET_NAME,BUILDING_NAME,CLINIC_PROGRAMME_CODE,X_COORDINATE,Y_COORDINATE,INC_CRC,FMEL_UPD_D
103.924236461317,1.33177300798251,0,kml_974,"9401921",YANG & YAP CLINIC AND SURGERY (PTE LTD) / DR YANG ING HONG MEDICAL AND AESTHETIC CLINIC,MC,"64499946","460537",A,"537","01","571",BEDOK NORTH ST 3,,"CDMP,CHAS,ISP",38118.22099116,34886.39595437,0001B900AD6441A5,"20210926121846"
103.77802575812,1.43828189844375,0,kml_975,"9401927",YAP FAMILY CLINIC,MC,"63626012","730132",A,"132","01","230",MARSILING RISE,,"CDMP,CHAS",21846.75673048,46663.49658742,66B7A20ED0E67A12,"20210926121846"
103.805373812286,1.31641190070436,0,kml_976,"9405255",YAP MEDICARE CLINIC & SURGERY,MC,"64712338","260008",A,"8","01","03",EMPRESS RD,,"CDMP,CHAS,ISP",24890.01816124,33187.67453058,B488E526BD4B8D7D,"20210926121846"
103.844212383776,1.32214005414322,0,kml_977,14M0181,YAP WEE SEE RESPIRATORY AND SLEEP CLINIC,MC,"62684890","329563",B,"38","08","27",IRRAWADDY ROAD,Mount Elizabeth Novena Specialist Centre,"CDMP,CHAS",29212.37210633,33821.04952422,483E293AF8AD58D3,"20210926121846"
103.74450960652,1.3515908698424,0,kml_978,"9401935",YEO CLINIC,MC,"65660601","650134",A,"134","01","447",BT BATOK WEST AVE 6,,"CDMP,CHAS,ISP",18116.55859666,37077.74800306,E03AB0D1B126250C,"20210926121846"
103.770861088487,1.31351386363529,0,kml_979,"9402127",YEO'S Clinic,MD,"67790790","120354",A,"354","01","221",Clementi Avenue 2,,"CDMP,CHAS",21049.07734466,32867.29394626,4AD5F259C0294525,"20210926121846"
103.828789865619,1.2863657812581,0,kml_980,"9401946",YIM CLINIC,MC,"62707587","161011",,11A,"02",03/04/05,BOON TIONG ROAD,,"CDMP,CHAS",27495.9920987,29865.31238519,92A11648D67FE110,"20210926121846"
103.801293104546,1.43998366603242,0,kml_981,"9402426",YIM MEDICAL CENTRE (ADMIRALTY MRT),MC,"68939181","730678",,"678","01","722",WOODLANDS AVE 6,,"CDMP,CHAS",24436.05866903,46851.62000617,428FE74EAB8351B7,"20210926121846"
103.83899894357,1.43416807953309,0,kml_982,15M0047,YISHUN RING ROAD CLINIC,MC,"62577202","760236",A,"236","01","1010",YISHUN RING ROAD,,"CDMP,CHAS",28632.13864197,46208.53743452,999E1F1109D7D5C9,"20210926121846"
103.833671016582,1.4298998339656,0,kml_983,13M0256,YISHUNONE FAMILY CLINIC,MC,"67590950","760743",A,"743","01","534",YISHUN AVENUE 5,,"CDMP,CHAS",28039.22110662,45736.57548391,A66B137457AB94AA,"20210926121846"
103.839186936926,1.41856736772689,0,kml_984,"9401959",YONG CLINIC & SURGERY,MC,"67531803","760632",A,"632","01","06",YISHUN ST 61,,"CDMP,CHAS",28653.06383742,44483.48931198,04940BEC85ABE8BB,"20210926121846"
103.961129743645,1.35335719500359,0,kml_985,"9403544",YOONG FAMILY CLINIC & SURGERY,MC,"67826167","520333",A,"333","01","536",TAMPINES ST 32,,"CDMP,CHAS,ISP",42223.94331437,37273.2530566,FD09BA038FCB68DC,"20210926121846"
103.879898474189,1.33372866023576,0,kml_986,16C0391,YSL ALJUNIED CLINIC & SURGERY,MC,"63430626","360005",A,"5","01","42",UPPER ALJUNIED LANE,,"CDMP,CHAS",33183.85537693,35102.5044547,015DBCF5943CE5A4,"20210926121846"
103.925307290309,1.33131386611754,0,kml_987,16C0136,YSL BEDOK CLINIC & SURGERY,MD,"62452684","460539",A,"539","01","631",BEDOK NORTH STREET 3,,"CDMP,CHAS,ISP",38237.39524452,34835.63076449,4840E6B334A3C408,"20210926121846"
103.94672691895,1.35783252185449,0,kml_988,"9401925",Yao Medical Clinic,MC,"67830232","520419",A,"419","01","96",TAMPINES STREET 41,,CHAS,40621.04569602,37768.03319264,5B66AB788178DBBB,"20210926121846"
103.757451263607,1.31641321897956,0,kml_989,17M0003,Yarra Medical Clinic,MC,"62643703","128020",B,"1","01","11",WEST COAST DRIVE,NEWEST,"CDMP,CHAS",19556.70066582,33187.93129389,6DC02FCA717F1067,"20210926121846"
103.842378423283,1.38076896102348,0,kml_990,"9401948",Yio Chu Kang MRT Clinic Pte Ltd,MC,"64598278","560635",A,"635","01","5125",Ang Mo Kio Ave 6,,"CDMP,CHAS",29008.24642835,40303.9339026,DDB06D3848C0694E,"20210926121846"
103.897805221313,1.40515419804686,0,kml_991,14M0301,ZENITH MEDICAL CLINIC,MC,"64433678","823266",A,266C,"01","374",PUNGGOL WAY,,"CDMP,CHAS",35176.47753029,43000.42687869,A02316A4DDB4C909,"20210926121846"
103.743525075344,1.39095082434027,0,kml_992,"9404715",Zam Family Clinic,MC,"67690302","680516",A,"516","01","66",CHOA CHU KANG STREET 51,,"CDMP,CHAS",18007.15448522,41429.98092775,4241831FCB1347BA,"20210926121846"
103.934249434387,1.32749295502142,0,kml_993,13C0053,THE FAHRENHEIT MEDICAL CENTRE,MC,"64438063","460218",A,"218","01","27",BEDOK NORTH STREET 1,,"CDMP,CHAS",39232.58188074,34413.17234339,FE1C7EC3A37B2945,"20210926121846"
103.847404278661,1.42574178896438,0,kml_994,"9405683",THE FAMILY MEDICAL CENTRE (YISHUN) PTE. LTD.,MC,"62574522","760411",A,"411","01","1827",YISHUN RING ROAD,,CHAS,29567.53084609,45276.80459937,F6498D08D01BE0DA,"20210926121846"
103.800270024775,1.30659244995571,0,kml_995,"9401694",THE FAMILY PRACTICE CLINIC & SURGERY,MC,"64748394","140117",A,"117","01","723",COMMONWEALTH DR,,"CDMP,CHAS,ISP",24322.0017026,32101.89690875,E62B415CB0061863,"20210926121846"
103.867774260572,1.3323543600733,0,kml_996,"9402785",THE FAMILY PRACTICE-POTONG PASIR,MC,"62816906","350148",,"148","01","33",POTONG PASIR AVE 1,,"CDMP,CHAS,ISP",31834.55914981,34950.51916216,7E0946548ECB7CC9,"20210926121846"
103.834434648473,1.35276828454393,0,kml_997,"9403418",THE FLAME TREE MEDICAL CENTRE,MD,"64512818","574357",B,"225",,,UPPER THOMSON ROAD,THOMSON RIDGE ESTATE,"CDMP,CHAS",28124.20591683,37207.75982906,B48F7D870535E889,"20210926121846"
103.873115537646,1.37012983432538,0,kml_998,"9404276",THE HEALER CLINIC + SURGERY,MC,"62859866","550154",,"154","01","452",SERANGOON NORTH AVENUE 1,,"CDMP,CHAS",32428.91937834,39127.54816347,B5DB7C61920A0A6F,"20210926121846"
